instruction,action,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7
"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if location of object 1 not equal location of object 8 or location of object 2 equal location of object 6 , then location of object 5 not equal location of object 7 , else location of object 3 equal location of object 4 ?",false,./for_xx/trial9/frames/epoch0.png,./for_xx/trial9/frames/epoch1.png,./for_xx/trial9/frames/epoch2.png,./for_xx/trial9/frames/epoch3.png,./for_xx/trial9/frames/epoch4.png,./for_xx/trial9/frames/epoch5.png,./for_xx/trial9/frames/epoch6.png,./for_xx/trial9/frames/epoch7.png
"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if object of object 5 equal object of object 6 , then object of object 7 equal object of object 4 or object of object 8 not equal object of object 3 , else object of object 1 not equal object of object 2 ?",true,./for_xx/trial204/frames/epoch0.png,./for_xx/trial204/frames/epoch1.png,./for_xx/trial204/frames/epoch2.png,./for_xx/trial204/frames/epoch3.png,./for_xx/trial204/frames/epoch4.png,./for_xx/trial204/frames/epoch5.png,./for_xx/trial204/frames/epoch6.png,./for_xx/trial204/frames/epoch7.png
"observe object 1, delay, observe object 2, observe object 3, observe object 4, observe object 5, if location of object 3 not equal top right or location of object 2 equal top left , then location of object 1 equal top left , else location of object 4 not equal location of object 5 ?",false,./for_xx/trial0/frames/epoch0.png,./for_xx/trial0/frames/epoch1.png,./for_xx/trial0/frames/epoch2.png,./for_xx/trial0/frames/epoch3.png,./for_xx/trial0/frames/epoch4.png,./for_xx/trial0/frames/epoch5.png,./for_xx/nullframe.png,./for_xx/nullframe.png
"observe object 1, observe object 2, observe object 3, observe object 4, delay, observe object 5, observe object 6, observe object 7, if location of object 6 not equal location of object 7 , then location of object 5 equal top right , else location of object 2 not equal location of object 3 or location of object 1 equal location of object 4 ?",false,./for_xx/trial7/frames/epoch0.png,./for_xx/trial7/frames/epoch1.png,./for_xx/trial7/frames/epoch2.png,./for_xx/trial7/frames/epoch3.png,./for_xx/trial7/frames/epoch4.png,./for_xx/trial7/frames/epoch5.png,./for_xx/trial7/frames/epoch6.png,./for_xx/trial7/frames/epoch7.png
"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if object of object 4 not equal object of object 2 and object of object 5 not equal object of object 8 , then object of object 7 equal object of object 6 , else object of object 1 not equal object of object 3 ?",false,./for_xx/trial203/frames/epoch0.png,./for_xx/trial203/frames/epoch1.png,./for_xx/trial203/frames/epoch2.png,./for_xx/trial203/frames/epoch3.png,./for_xx/trial203/frames/epoch4.png,./for_xx/trial203/frames/epoch5.png,./for_xx/trial203/frames/epoch6.png,./for_xx/trial203/frames/epoch7.png
"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if location of object 7 equal location of object 2 or location of object 8 equal location of object 4 , then location of object 3 equal location of object 1 , else location of object 6 equal location of object 5 ?",true,./for_xx/trial6/frames/epoch0.png,./for_xx/trial6/frames/epoch1.png,./for_xx/trial6/frames/epoch2.png,./for_xx/trial6/frames/epoch3.png,./for_xx/trial6/frames/epoch4.png,./for_xx/trial6/frames/epoch5.png,./for_xx/trial6/frames/epoch6.png,./for_xx/trial6/frames/epoch7.png
"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if object of object 8 equal object of object 2 or object of object 4 not equal object of object 1 , then object of object 3 equal object of object 6 , else object of object 5 not equal object of object 7 ?",false,./for_xx/trial202/frames/epoch0.png,./for_xx/trial202/frames/epoch1.png,./for_xx/trial202/frames/epoch2.png,./for_xx/trial202/frames/epoch3.png,./for_xx/trial202/frames/epoch4.png,./for_xx/trial202/frames/epoch5.png,./for_xx/trial202/frames/epoch6.png,./for_xx/trial202/frames/epoch7.png
"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if object of object 3 equal object of object 2 and object of object 4 not equal object of object 6 , then object of object 7 not equal object of object 8 , else object of object 5 not equal object of object 1 ?",false,./for_xx/trial205/frames/epoch0.png,./for_xx/trial205/frames/epoch1.png,./for_xx/trial205/frames/epoch2.png,./for_xx/trial205/frames/epoch3.png,./for_xx/trial205/frames/epoch4.png,./for_xx/trial205/frames/epoch5.png,./for_xx/trial205/frames/epoch6.png,./for_xx/trial205/frames/epoch7.png
"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, if location of object 7 equal location of object 1 , then location of object 5 equal location of object 6 or location of object 3 equal location of object 4 , else location of object 2 equal top right ?",false,./for_xx/trial1/frames/epoch0.png,./for_xx/trial1/frames/epoch1.png,./for_xx/trial1/frames/epoch2.png,./for_xx/trial1/frames/epoch3.png,./for_xx/trial1/frames/epoch4.png,./for_xx/trial1/frames/epoch5.png,./for_xx/trial1/frames/epoch6.png,./for_xx/nullframe.png
"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, if location of object 6 not equal location of object 5 , then location of object 3 equal top left or location of object 2 not equal location of object 1 , else location of object 4 not equal location of object 7 ?",false,./for_xx/trial8/frames/epoch0.png,./for_xx/trial8/frames/epoch1.png,./for_xx/trial8/frames/epoch2.png,./for_xx/trial8/frames/epoch3.png,./for_xx/trial8/frames/epoch4.png,./for_xx/trial8/frames/epoch5.png,./for_xx/trial8/frames/epoch6.png,./for_xx/nullframe.png
